アフターシェーブローション	after|shave|lotion	AE1_F_T_ER0|SH_EY1_V|L_OW1_SH_AH0_N
ミルクファイバーライス	milk|fiber|rice	M_IH1_L_K|F_AY1_B_ER0|R_AY1_S
メリーゴーランド	merry|go|round	M_EH1_R_IY0|G_OW1|R_AW1_N_D
メリーゴーラウンド	merry|go|round	M_EH1_R_IY0|G_OW1|R_AW1_N_D
メロメロ	madly|in|love	M_AE1_D_L_IY0|IH0_N|L_AH1_V
モディファイドアメリカンプラン	modified|american|plan	M_AA1_D_AH0_F_AY2_D|AH0_M_EH1_R_IH0_K_AH0_N|P_L_AE1_N
ユニットストックコントロール	unit|stock|control	Y_UW1_N_AH0_T|S_T_AA1_K|K_AH0_N_T_R_OW1_L
ヨーチン	tincture|of|iodine	T_IH1_NG_K_CH_ER0|AH1_V|AY1_AH0_D_AY2_N
ラジカセ	radio|cassette|player	R_EY1_D_IY0_OW2|K_AH0_S_EH1_T|P_L_EY1_ER0
リーズアンドラッグズ	leads|and|lags	L_IY1_D_Z|AH0_N_D|L_AE1_G_Z
レリーズ	remote|shutter|release	R_IH0_M_OW1_T|SH_AH1_T_ER0|R_IY0_L_IY1_S
ローヒール	low|heeled|shoes	L_OW1|HH_IY1_L_D|SH_UW1_Z
ロングサーキットアピール	long|circuit|appeal	L_AO1_NG|S_ER1_K_AH0_T|AH0_P_IY1_L
ー	long|vowel|mark	L_AO1_NG|V_AW1_AH0_L|M_AA1_R_K
エアモニ	on|air|monitor	AA1_N|EH1_R|M_AA1_N_AH0_T_ER0
エミフィル	electromagnetic|interference|filter	IH2_L_EH2_K_T_R_OW0_M_AE0_G_N_EH1_T_IH0_K|IH2_N_T_ER0_F_IH1_R_AH0_N_S|F_IH1_L_T_ER0
クロスニコル	crossed|nichol|prism	K_R_AO1_S_T|N_IH1_K_AO0_L|P_R_IH1_Z_AH0_M
ジャスピン	in|perfect|focus	IH0_N|P_ER0_F_EH1_K_T|F_OW1_K_AH0_S
スタンディング	free|standing|bar	F_R_IY1|S_T_AE1_N_D_IH0_NG|B_AA1_R
ストパ	straight|permanent|wave	S_T_R_EY1_T|P_ER1_M_AA0_N_EH2_N_T|W_EY1_V
ストパー	straight|permanent|wave	S_T_R_EY1_T|P_ER1_M_AA0_N_EH2_N_T|W_EY1_V
ナウナウイズム	now|now|ism	N_AW1|N_AW1|IH1_Z_AH0_M
ノンコンデザイン	non|conforming|design	N_AA1_N|K_AH0_N_F_AO1_R_M_IH0_NG|D_IH0_Z_AY1_N
ハイス	high|speed|steel	HH_AY1|S_P_IY1_D|S_T_IY1_L
パチプロ	professional|pachinko|player	P_R_AH0_F_EH1_SH_AH0_N_AH0_L|P_AH0_CH_IH1_NG_K_OW0|P_L_EY1_ER0
メルアド	e|mail|address	IY1|M_EY1_L|AE1_D_R_EH2_S
メールアド	e|mail|address	IY1|M_EY1_L|AE1_D_R_EH2_S
タイカラー	four|in|hand	F_AO1_R|IH0_N|HH_AE1_N_D
バッティングピッチャー	batting|practice|pitcher	B_AE1_T_IH0_NG|P_R_AE1_K_T_IH0_S|P_IH1_CH_ER0
ワンダン	down|one|out	D_AW1_N|W_AH1_N|AW1_T
ツールドフランス	tour|de|france	T_UH1_R|D_IY1|F_R_AE1_N_S
ノンスクランブルチャンネル	non|scrambled|channel	N_AA1_N|S_K_R_AE1_M_B_AH0_L_D|CH_AE1_N_AH0_L
ハイオクガソリン	high|octane|gasoline	HH_AY1|AA1_K_T_EY0_N|G_AE1_S_AH0_L_IY2_N
マネーリザーブファンド	money|reserve|fund	M_AH1_N_IY0|R_IH0_Z_ER1_V|F_AH1_N_D
ジェス	job|entry|subsystem	JH_AA1_B|EH1_N_T_R_IY0|S_AH1_B_S_IH2_S_T_AH0_M
パプアニューギニア	papua|new|guinea	P_AE1_P_Y_UW0_AH0|N_UW1|G_IH1_N_IY0
カーナビ	car|navigation|system	K_AA1_R|N_AE1_V_AH0_G_EY1_SH_AH0_N|S_IH1_S_T_AH0_M
プロポーショナルコントロールシステム	proportional|control|system	P_R_AH0_P_AO1_R_SH_AH0_N_AH0_L|K_AH0_N_T_R_OW1_L|S_IH1_S_T_AH0_M
セフレ	friend|with|benefits	F_R_EH1_N_D|W_IH1_DH|B_EH1_N_AH0_F_IH0_T_S
セクフレ	friend|with|benefits	F_R_EH1_N_D|W_IH1_DH|B_EH1_N_AH0_F_IH0_T_S
ランファン	lingerie|and|foundation	L_AA1_N_ZH_ER0_EY2|AH0_N_D|F_AW0_N_D_EY1_SH_AH0_N
ネブルズ	kurdish|new|year	K_ER1_D_IH0_SH|N_UW1|Y_IH1_R
イーイーカメラ	electric|eye|camera	IH0_L_EH1_K_T_R_IH0_K|AY1|K_AE1_M_ER0_AH0
シングルジャストロー	single|just|low	S_IH1_NG_G_AH0_L|JH_AH1_S_T|L_OW1
フルジャストロー	full|just|low	F_UH1_L|JH_AH1_S_T|L_OW1
エレアコ	electric|acoustic|guitar	IH0_L_EH1_K_T_R_IH0_K|AH0_K_UW1_S_T_IH0_K|G_IH0_T_AA1_R
エロゲ	erotic|video|game	IH0_R_AA1_T_IH0_K|V_IH1_D_IY0_OW0|G_EY1_M
エロゲー	erotic|video|game	IH0_R_AA1_T_IH0_K|V_IH1_D_IY0_OW0|G_EY1_M
シェークハンドグリップ	shake|hands|grip	SH_EY1_K|HH_AE1_N_D_Z|G_R_IH1_P
スリークォーター	three|quarter|pitch	TH_R_IY1|K_W_AO1_R_T_ER0|P_IH1_CH
スリークオーター	three|quarter|pitch	TH_R_IY1|K_W_AO1_R_T_ER0|P_IH1_CH
スリークォータ	three|quarter|pitch	TH_R_IY1|K_W_AO1_R_T_ER0|P_IH1_CH
ピーピーエム	parts|per|million	P_AA1_R_T_S|P_ER1|M_IH1_L_Y_AH0_N
ボイップ	voice|over|ip	V_OY1_S|OW1_V_ER0|AY2_P_IY2
エキュー	european|currency|unit	Y_UH2_R_AH0_P_IY1_AH0_N|K_ER1_AH0_N_S_IY0|Y_UW1_N_AH0_T
ツメ	to|close|up	T_UW1|K_L_OW1_S|AH1_P
エリンギ	king|trumpet|mushroom	K_IH1_NG|T_R_AH1_M_P_AH0_T|M_AH1_SH_R_UW0_M
ブサキモ	ugly|and|creepy	AH1_G_L_IY0|AH0_N_D|K_R_IY1_P_IY0
シャカパン	nylon|track|pants	N_AY1_L_AA2_N|T_R_AE1_K|P_AE1_N_T_S
シャカシャカパンツ	nylon|track|pants	N_AY1_L_AA2_N|T_R_AE1_K|P_AE1_N_T_S
ケンチキ	kentucky|fried|chicken	K_AH0_N_T_AH1_K_IY0|F_R_AY1_D|CH_IH1_K_AH0_N
パルック	neon|light|tube	N_IY1_AA0_N|L_AY1_T|T_UW1_B
オッズ	chances|of|winning	CH_AE1_N_S_AH0_Z|AH1_V|W_IH1_N_IH0_NG
クリスチャンギャングスタラップ	christian|gangsta|rap	K_R_IH1_S_CH_AH0_N|G_AE1_NG_S_T_AH0|R_AE1_P
アクリリックレジンセメント	acrylic|resin|cement	AH0_K_R_IH1_L_IH0_K|R_EH1_Z_AH0_N|S_AH0_M_EH1_N_T
ヴァンドパイユ	vin|de|paille	V_IH1_N|D_IY1|P_EY1_L
フツメン	average|looking|guy	AE1_V_ER0_IH0_JH|L_UH1_K_IH0_NG|G_AY1
タラ	japanese|angelica|tree	JH_AE2_P_AH0_N_IY1_Z|AE0_N_JH_EH1_L_IH0_K_AH0|T_R_IY1
キリリク	lucky|number|request	L_AH1_K_IY0|N_AH1_M_B_ER0|R_IH0_K_W_EH1_S_T
ジャユプロ	japan|unique|process	JH_AH0_P_AE1_N|Y_UW0_N_IY1_K|P_R_AA1_S_EH2_S
ビンベスト	extremely|poor|person	IH0_K_S_T_R_IY1_M_L_IY0|P_UW1_R|P_ER1_S_AH0_N
ムックリ	ainu|mouth|harp	EY1_N_UW2|M_AW1_TH|HH_AA1_R_P
オフオフブロードウェー	off|off|broadway	AO1_F|AO1_F|B_R_AO1_D_W_EY2
アイオーデータ	i|o|data	AY1|OW1|D_EY1_T_AH0
アクティビティモデルステップ	activity|model|step	AE0_K_T_IH1_V_IH0_T_IY0|M_AA1_D_AH0_L|S_T_EH1_P
アラインメントテストイメージ	alignment|test|image	AH0_L_AY1_N_M_AH0_N_T|T_EH1_S_T|IH1_M_AH0_JH
イオンデポジションプリンタ	ion|deposition|printer	AY1_AA2_N|D_EH2_P_AH0_Z_IH1_SH_AH0_N|P_R_IH1_N_T_ER0
インチネジ	inch|screw|threads	IH1_N_CH|S_K_R_UW1|TH_R_EH1_D_Z
ウィンドウアクセラレータボード	windows|accelerator|board	W_IH1_N_D_OW0_Z|AE0_K_S_EH1_L_ER0_EY2_T_ER0|B_AO1_R_D
ウォールサーキットブレーカ	wall|circuit|breaker	W_AO1_L|S_ER1_K_AH0_T|B_R_EY1_K_ER0
エキスパンションキャビネットパネル	expansion|cabinet|panel	IH0_K_S_P_AE1_N_SH_AH0_N|K_AE1_B_AH0_N_AH0_T|P_AE1_N_AH0_L
エクステンドメモリプロック	extended|memory|block	IH0_K_S_T_EH1_N_D_AH0_D|M_EH1_M_ER0_IY0|B_L_AA1_K
エッジサブスクリプションファイル	edge|subscription|file	EH1_JH|S_AH0_B_S_K_R_IH1_P_SH_AH0_N|F_AY1_L
エンドオブテキスト	end|of|text	EH1_N_D|AH1_V|T_EH1_K_S_T
エンドオブファイル	end|of|file	EH1_N_D|AH1_V|F_AY1_L
エンドツエンド	end|to|end	EH1_N_D|T_UW1|EH1_N_D
エンドツーエンド	end|to|end	EH1_N_D|T_UW1|EH1_N_D
エンハンストパラレルインタフェース	enhanced|parallel|interface	EH0_N_HH_AE1_N_S_T|P_EH1_R_AH0_L_EH2_L|IH1_N_T_ER0_F_EY2_S
オフラインフォルダファイル	offline|folder|file	AO1_F_L_AY2_N|F_OW1_L_D_ER0|F_AY1_L
オンラインテラーズマシン	online|teller|machine	AO1_N_L_AY2_N|T_EH1_L_ER0|M_AH0_SH_IY1_N
オンラインプログラミングシステム	online|programming|system	AO1_N_L_AY2_N|P_R_OW1_G_R_AE2_M_IH0_NG|S_IH1_S_T_AH0_M
カスケーディングスタイルシート	cascade|style|sheets	K_AE0_S_K_EY1_D|S_T_AY1_L|SH_IY1_T_S
カスタムパネルウィンドウ	custom|panel|pane	K_AH1_S_T_AH0_M|P_AE1_N_AH0_L|P_EY1_N
ガイドピンネジ	guide|pin|screw	G_AY1_D|P_IH1_N|S_K_R_UW1
キャビネットモニタコントローラ	cabinet|monitoring|controller	K_AE1_B_AH0_N_AH0_T|M_AA1_N_AH0_T_ER0_IH0_NG|K_AH0_N_T_R_OW1_L_ER0
クロスチェックファン	cross|checked|fan	K_R_AO1_S|CH_EH1_K_T|F_AE1_N
クワドラントカードスロット	quadrant|card|slot	K_W_AA1_D_R_AH0_N_T|K_AA1_R_D|S_L_AA1_T
スイッチドバーチャルサーキット	switched|virtual|circuit	S_W_IH1_CH_T|V_ER1_CH_UW0_AH0_L|S_ER1_K_AH0_T
スイッチドバーチャルパス	switched|virtual|path	S_W_IH1_CH_T|V_ER1_CH_UW0_AH0_L|P_AE1_TH
ストライプメディアセット	striped|media|set	S_T_R_AY1_P_T|M_IY1_D_IY0_AH0|S_EH1_T
セルフタッピングネジ	self|tapping|screws	S_EH1_L_F|T_AE1_P_IH0_NG|S_K_R_UW1_Z
ソフトウェアディベロッパキット	software|developer|kit	S_AO1_F_T_W_EH2_R|D_IH0_V_EH1_L_AH0_P_ER0|K_IH1_T
タッピングネジ	self|tapping|screws	S_EH1_L_F|T_AE1_P_IH0_NG|S_K_R_UW1_Z
ダイジェストアクセスプロトコル	digest|access|protocol	D_AY0_JH_EH1_S_T|AE1_K_S_EH2_S|P_R_OW1_T_AH0_K_AA2_L
ダオ	data|access|object	D_EY1_T_AH0|AE1_K_S_EH2_S|AA1_B_JH_EH0_K_T
ツインリーキーバケット	twin|leaky|bucket	T_W_IH1_N|L_IY1_K_IY0|B_AH1_K_IH0_T
ディメンションメンバプロパティ	dimension|member|property	D_IH0_M_EH1_N_SH_AH0_N|M_EH1_M_B_ER0|P_R_AA1_P_ER0_T_IY0
トランジスタトランジスタロジック	transistor|transistor|logic	T_R_AE0_N_Z_IH1_S_T_ER0|T_R_AE0_N_Z_IH1_S_T_ER0|L_AA1_JH_IH0_K
トランジスタダイオードロジック	transistor|diode|logic	T_R_AE0_N_Z_IH1_S_T_ER0|D_AY1_OW2_D|L_AA1_JH_IH0_K
ドライブバイインストール	drive|by|install	D_R_AY1_V|B_AY1|IH2_N_S_T_AO1_L
ヒューズネットワークシステムズ	hughes|network|systems	HH_Y_UW1_Z|N_EH1_T_W_ER2_K|S_IH1_S_T_AH0_M_Z
ビジネスモデリングオブジェクト	business|modeling|objects	B_IH1_Z_N_AH0_S|M_AA1_D_AH0_L_IH2_NG|AA1_B_JH_EH0_K_T_S
ピークトラフィックコンディション	peak|traffic|condition	P_IY1_K|T_R_AE1_F_IH0_K|K_AH0_N_D_IH1_SH_AH0_N
ピクチャインピクチャ	picture|in|picture	P_IH1_K_CH_ER0|IH0_N|P_IH1_K_CH_ER0
ピフ	program|information|file	P_R_OW1_G_R_AE2_M|IH2_N_F_AO2_R_M_EY1_SH_AH0_N|F_AY1_L
ピム	personal|information|manager	P_ER1_S_IH0_N_AH0_L|IH2_N_F_AO2_R_M_EY1_SH_AH0_N|M_AE1_N_AH0_JH_ER0
ピュアログバックアップ	pure|log|backup	P_Y_UH1_R|L_AO1_G|B_AE1_K_AH2_P
フワイ	for|your|information	F_AO1_R|Y_AO1_R|IH2_N_F_AO2_R_M_EY1_SH_AH0_N
プライオリティキューシステム	priority|queue|system	P_R_AY0_AO1_R_AH0_T_IY0|K_Y_UW1|S_IH1_S_T_AH0_M
ポイントオブプレザンス	point|of|presence	P_OY1_N_T|AH1_V|P_R_EH1_Z_AH0_N_S
ポイントツーポイント	point|to|point	P_OY1_N_T|T_UW1|P_OY1_N_T
ポストピクセルブレンド	post|pixel|blending	P_OW1_S_T|P_IH1_K_S_AH0_L|B_L_EH1_N_D_IH0_NG
ミドルレンジマシン	middle|range|machine	M_IH1_D_AH0_L|R_EY1_N_JH|M_AH0_SH_IY1_N
ミリネジ	metric|screw|threads	M_EH1_T_R_IH0_K|S_K_R_UW1|TH_R_EH1_D_Z
メートルネジ	metric|screw|threads	M_EH1_T_R_IH0_K|S_K_R_UW1|TH_R_EH1_D_Z
メーラー	e|mail|software	IY1|M_EY1_L|S_AO1_F_T_W_EH2_R
ユーティリティルーチンプログラム	utility|routine|program	Y_UW0_T_IH1_L_AH0_T_IY0|R_UW0_T_IY1_N|P_R_OW1_G_R_AE2_M
ライトボタン	virtual|push|button	V_ER1_CH_UW0_AH0_L|P_UH1_SH|B_AH1_T_AH0_N
ラボプリントサービス	photo|print|service	F_OW1_T_OW2|P_R_IH1_N_T|S_ER1_V_AH0_S
ランダムスキャンディスプレイ	random|scan|display	R_AE1_N_D_AH0_M|S_K_AE1_N|D_IH0_S_P_L_EY1
リンクトマルチセッション	linked|multi|session	L_IH1_NG_K_T|M_AH1_L_T_IY0|S_EH1_SH_AH0_N
レプリカセットトポロジ	replica|set|topology	R_EH1_P_L_IH0_K_AH0|S_EH1_T|T_AH0_P_AO1_L_AH0_JH_IY0
ロードセットピリオド	load|set|period	L_OW1_D|S_EH1_T|P_IH1_R_IY0_AH0_D
アイモードサービス	i|mode|service	AY1|M_OW1_D|S_ER1_V_AH0_S
ワンプライスショップ	one|price|store	W_AH1_N|P_R_AY1_S|S_T_AO1_R
ウイナーテイクオール	winner|take|all	W_IH1_N_ER0|T_EY1_K|AO1_L
オフサイトセンター	off|site|centre	AO1_F|S_AY1_T|S_EH1_N_T_ER0
ロングライフクーラント	long|life|coolant	L_AO1_NG|L_AY1_F|K_UW1_L_AH0_N_T
スモハラ	harassment|by|smoking	HH_ER0_AE1_S_M_AH0_N_T|B_AY1|S_M_OW1_K_IH0_NG
ラジコンカー	radio|controlled|car	R_EY1_D_IY0_OW2|K_AH0_N_T_R_OW1_L_D|K_AA1_R
オールオアナッシング	all|or|nothing	AO1_L|AO1_R|N_AH1_TH_IH0_NG
キブアンドテーク	give|and|take	G_IH1_V|AH0_N_D|T_EY1_K
ホームアンドアウェー	home|and|away	HH_OW1_M|AH0_N_D|AH0_W_EY1
ホームアンドアウエー	home|and|away	HH_OW1_M|AH0_N_D|AH0_W_EY1
コストパーサウザンド	cost|per|thousand	K_AA1_S_T|P_ER1|TH_AW1_Z_AH0_N_D
デッドオンアライバル	dead|on|arrival	D_EH1_D|AA1_N|ER0_AY1_V_AH0_L
マザーインロー	mother|in|law	M_AH1_DH_ER0|IH0_N|L_AO1
ソーシャルスキルズトレーニング	social|skills|training	S_OW1_SH_AH0_L|S_K_IH1_L_Z|T_R_EY1_N_IH0_NG
コールドタイプシステム	cold|type|system	K_OW1_L_D|T_AY1_P|S_IH1_S_T_AH0_M
フォーゲットミーノット	forget|me|not	F_ER0_G_EH1_T|M_IY1|N_AA1_T
フォゲットミーノット	forget|me|not	F_ER0_G_EH1_T|M_IY1|N_AA1_T
フォーウエーフラッシャー	four|way|flasher	F_AO1_R|W_EY1|F_L_AE1_SH_ER0
ソーサームサーイ	saw|sam|sai	S_AO1|S_AE1_M|S_AY1
ソフトカードミルク	soft|curd|milk	S_AA1_F_T|K_ER1_D|M_IH1_L_K
スリークォーターバックス	three|quarter|backs	TH_R_IY1|K_W_AO1_R_T_ER0|B_AE1_K_S
ホールホイートブレッド	whole|wheat|bread	HH_OW1_L|W_IY1_T|B_R_EH1_D
カットアンドソーン	cut|and|sewn	K_AH1_T|AH0_N_D|S_OW1_N
フォアインハンド	four|in|hand	F_AO1_R|IH0_N|HH_AE1_N_D
クロナマコ	black|sea|cucumber	B_L_AE1_K|S_IY1|K_Y_UW1_K_AH0_M_B_ER0
アーティキュレーテッドコンロッド	articulated|con|rod	AA0_R_T_IH1_K_Y_AH0_L_EY2_T_IH0_D|K_AA1_N|R_AA1_D
ムレハタタテダイ	false|moorish|idol	F_AO1_L_S|M_UH1_R_IH0_SH|AY1_D_AH0_L
ゴマフキンチャクフグ	spider|eye|puffer	S_P_AY1_D_ER0|AY1|P_AH1_F_ER0
オールドウーマンエンジェルフィッシュ	old|woman|angelfish	OW1_L_D|W_UH1_M_AH0_N|EY1_N_JH_AH0_L_F_IH2_SH
ホラカントゥスバミューデンシス	bermuda|blue|angelfish	B_ER0_M_Y_UW1_D_AH0|B_L_UW1|EY1_N_JH_AH0_L_F_IH2_SH
イエローイアーエンジェルフィッシュ	yellow|ear|angelfish	Y_EH1_L_OW0|IY1_R|EY1_N_JH_AH0_L_F_IH2_SH
ハナナガスズメダイ	blunt|snout|gregory	B_L_AH1_N_T|S_N_AW1_T|G_R_EH1_G_ER0_IY0
コーラルシーグレゴリー	coral|sea|gregory	K_AO1_R_AH0_L|S_IY1|G_R_EH1_G_ER0_IY0
ガラパゴスリングテールダムセルフィッシュ	southern|whitetail|major	S_AH1_DH_ER0_N|W_AY1_T_T_EY2_L|M_EY1_JH_ER0
フォールスアイサージャント	false|eye|sergeant	F_AO1_L_S|AY1|S_AA1_R_JH_AH0_N_T
ローレンツィーズサージャント	black|tail|sergeant	B_L_AE1_K|T_EY1_L|S_AA1_R_JH_AH0_N_T
シマネコザメ	zebra|bullhead|shark	Z_IY1_B_R_AH0|B_UH1_L_HH_EH2_D|SH_AA1_R_K
オオテンジクザメ	tawny|nurse|shark	T_AA1_N_IY0|N_ER1_S|SH_AA1_R_K
アメリカンブルックランプリ	american|brook|lamprey	AH0_M_EH1_R_IH0_K_AH0_N|B_R_UH1_K|L_AE1_M_P_R_IY0
ヨーロッパスナヤツメ	european|brook|lamprey	Y_UH2_R_AH0_P_IY1_AH0_N|B_R_UH1_K|L_AE1_M_P_R_IY0
ヨーロピアンブルックランプリ	european|brook|lamprey	Y_UH2_R_AH0_P_IY1_AH0_N|B_R_UH1_K|L_AE1_M_P_R_IY0
トルコヤツメ	turkish|brook|lamprey	T_ER1_K_IH0_SH|B_R_UH1_K|L_AE1_M_P_R_IY0
クレステッドホーンシャーク	crested|bullhead|shark	K_R_EH1_S_T_IH0_D|B_UH1_L_HH_EH2_D|SH_AA1_R_K
ポートジャクソンネコザメ	port|jackson|shark	P_AO1_R_T|JH_AE1_K_S_AH0_N|SH_AA1_R_K
トガリドチザメ	slender|smooth|hound	S_L_EH1_N_D_ER0|S_M_UW1_DH|HH_AW1_N_D
シロザメ	spotless|smooth|hound	S_P_AA1_T_L_AH0_S|S_M_UW1_DH|HH_AW1_N_D
ホウライザメ	spot|tail|shark	S_P_AA1_T|T_EY1_L|SH_AA1_R_K
オルリオオトカゲ	blue|tailed|monitor	B_L_UW1|T_EY1_L_D|M_AA1_N_AH0_T_ER0
シュミットオオトカゲ	peach|throat|monitor	P_IY1_CH|TH_R_OW1_T|M_AA1_N_AH0_T_ER0
ホオスジオオトカゲ	kimberley|rock|monitor	K_IH1_M_B_ER0_L_IY0|R_AA1_K|M_AA1_N_AH0_T_ER0
ミッチェルオオトカゲ	mitchell's|water|monitor	M_IH1_CH_AH0_L_Z|W_AO1_T_ER0|M_AA1_N_AH0_T_ER0
ハシゴオオトカゲ	banded|tree|monitor	B_AE1_N_D_IH0_D|T_R_IY1|M_AA1_N_AH0_T_ER0
フォーシーム	four|seam|fastball	F_AO1_R|S_IY1_M|F_AE1_S_T_B_AO2_L
スキム	powdered|skim|milk	P_AW1_D_ER0_D|S_K_IH1_M|M_IH1_L_K
ヤツバキクイムシ	spruce|bark|beetle	S_P_R_UW1_S|B_AA1_R_K|B_IY1_T_AH0_L
ノミニケーション	communicating|while|drinking	K_AH0_M_Y_UW1_N_AH0_K_EY2_T_IH0_NG|W_AY1_L|D_R_IH1_NG_K_IH0_NG
ノミュニケーション	communicating|while|drinking	K_AH0_M_Y_UW1_N_AH0_K_EY2_T_IH0_NG|W_AY1_L|D_R_IH1_NG_K_IH0_NG
ジュブナイル	young|adult|fiction	Y_AH1_NG|AH0_D_AH1_L_T|F_IH1_K_SH_AH0_N
