アードバーク	aardvark	AA1_R_D_V_AA2_R_K
アクサングラーブ	accent|grave	AH0_K_S_EH1_N_T|G_R_EY1_V
アクセプト	accept	AE0_K_S_EH1_P_T
アクセプタンス	acceptance	AE0_K_S_EH1_P_T_AH0_N_S
アクセス	access	AE1_K_S_EH2_S
アクセシビリティ	accessibility	AE2_K_S_EH0_S_AH0_B_IH1_L_IH0_T_IY0
アクセシビリティー	accessibility	AE2_K_S_EH0_S_AH0_B_IH1_L_IH0_T_IY0
アクセシブル	accessible	AE0_K_S_EH1_S_AH0_B_AH0_L
アクセッシング	accessing	AE1_K_S_EH2_S_IH0_NG
アクセサリ	accessory	AE0_K_S_EH1_S_ER0_IY0
アクセサリー	accessory	AE0_K_S_EH1_S_ER0_IY0
アクシデント	accident	AE1_K_S_AH0_D_AH0_N_T
アクシデンタル	accidental	AE2_K_S_AH0_D_EH1_N_T_AH0_L
アクスィデンタル	accidental	AE2_K_S_AH0_D_EH1_N_T_AH0_L
アクレイム	acclaim	AH0_K_L_EY1_M
アコモデイト	accommodate	AH0_K_AA1_M_AH0_D_EY2_T
アコモデーション	accommodation	AH0_K_AA2_M_AH0_D_EY1_SH_AH0_N
アコモデイション	accommodation	AH0_K_AA2_M_AH0_D_EY1_SH_AH0_N
アカムパニメント	accompaniment	AH0_K_AH1_M_P_N_IH0_M_AH0_N_T
アカンパニメント	accompaniment	AH0_K_AH1_M_P_N_IH0_M_AH0_N_T
アコンパニメント	accompaniment	AH0_K_AH1_M_P_N_IH0_M_AH0_N_T
アカムパニ	accompany	AH0_K_AH1_M_P_AH0_N_IY0
アカンパニ	accompany	AH0_K_AH1_M_P_AH0_N_IY0
アコンパニ	accompany	AH0_K_AH1_M_P_AH0_N_IY0
アコンプリス	accomplice	AH0_K_AA1_M_P_L_AH0_S
アカムプリッシュ	accomplish	AH0_K_AA1_M_P_L_IH0_SH
アカンプリッシュ	accomplish	AH0_K_AA1_M_P_L_IH0_SH
アコンプリッシ	accomplish	AH0_K_AA1_M_P_L_IH0_SH
アコンプリッシュ	accomplish	AH0_K_AA1_M_P_L_IH0_SH
アコード	accord	AH0_K_AO1_R_D
アコーディアン	accordion	AH0_K_AO1_R_D_IY0_AH0_N
アコーディオン	accordion	AH0_K_AO1_R_D_IY0_AH0_N
アコーデオン	accordion	AH0_K_AO1_R_D_IY0_AH0_N
アカウント	account	AH0_K_AW1_N_T
アカウンタビリティ	accountability	AH0_K_AW1_N_T_AH0_B_IH2_L_IH0_T_IY0
アカウンタビリティー	accountability	AH0_K_AW1_N_T_AH0_B_IH2_L_IH0_T_IY0
アカウンティング	accounting	AH0_K_AW1_N_T_IH0_NG
アクラ	accra	AA1_K_R_AA2
アクレジット	accredit	AH0_K_R_EH1_D_IH2_T
アクレディット	accredit	AH0_K_R_EH1_D_IH2_T
アキュミュレイト	accumulate	AH0_K_Y_UW1_M_Y_AH0_L_EY2_T
アキュムレイト	accumulate	AH0_K_Y_UW1_M_Y_AH0_L_EY2_T
アクムレイト	accumulate	AH0_K_Y_UW1_M_Y_AH0_L_EY2_T
アキュームレータ	accumulator	AH0_K_Y_UW1_M_Y_AH0_L_EY2_T_ER0
アキュムレータ	accumulator	AH0_K_Y_UW1_M_Y_AH0_L_EY2_T_ER0
アキュムレーター	accumulator	AH0_K_Y_UW1_M_Y_AH0_L_EY2_T_ER0
アキュラシ	accuracy	AE1_K_Y_ER0_AH0_S_IY0
アキュラスィ	accuracy	AE1_K_Y_ER0_AH0_S_IY0
アキュレイト	accurate	AE1_K_Y_ER0_AH0_T
アキュレット	accurate	AE1_K_Y_ER0_AH0_T
アキュセイション	accusation	AE2_K_Y_AH0_Z_EY1_SH_AH0_N
アキュゼイション	accusation	AE2_K_Y_AH0_Z_EY1_SH_AH0_N
エース	ace	EY1_S
アセトアミノフェン	acetaminophen	AH0_S_IY2_T_AH0_M_IH1_N_AH0_F_AH0_N
アセテート	acetate	AE1_S_AH0_T_EY2_T
アセトン	acetone	AE1_S_AH0_T_OW2_N
アセチルコリン	acetylcholine	AH0_S_EH2_T_AH0_L_K_OW1_L_IY0_N
アセチリーン	acetylene	AH0_S_EH1_T_AH0_L_IY2_N
アセチレン	acetylene	AH0_S_EH1_T_AH0_L_IY2_N
アチーヴ	achieve	AH0_CH_IY1_V
アチーブ	achieve	AH0_CH_IY1_V
アキレス	achilles	AH0_K_IH1_L_IY0_Z
アキレスタン	achilles|tang	AH0_K_IH1_L_IY0_Z|T_AE1_NG
アシッド	acid	AE1_S_IH0_D
アシドーシス	acidosis	AE2_S_IH0_D_OW1_S_AH0_S
アック	ack	AE1_K
アクノリッジ	acknowledge	AE0_K_N_AA1_L_IH0_JH
アクメ	acme	AE1_K_M_IY0
アクネ	acne	AE1_K_N_IY0
アコライト	acolyte	AE1_K_AH0_L_AY2_T
アクースティック	acoustic	AH0_K_UW1_S_T_IH0_K
アコースティック	acoustic	AH0_K_UW1_S_T_IH0_K
アコウスティック	acoustic	AH0_K_UW1_S_T_IH0_K
アコースティックギター	acoustic|guitar	AH0_K_UW1_S_T_IH0_K|G_IH0_T_AA1_R
アクウェイント	acquaint	AH0_K_W_EY1_N_T
アクエイント	acquaint	AH0_K_W_EY1_N_T
アクウェインタンス	acquaintance	AH0_K_W_EY1_N_T_AH0_N_S
アクエインタンス	acquaintance	AH0_K_W_EY1_N_T_AH0_N_S
アクイエス	acquiesce	AE2_K_W_IY0_EH1_S
アクウィエス	acquiesce	AE2_K_W_IY0_EH1_S
アクワイア	acquire	AH0_K_W_AY1_ER0
アクワイヤ	acquire	AH0_K_W_AY1_ER0
アクイジション	acquisition	AE2_K_W_AH0_Z_IH1_SH_AH0_N
アクウィジション	acquisition	AE2_K_W_AH0_Z_IH1_SH_AH0_N
アクイット	acquit	AH0_K_W_IH1_T
アクウィット	acquit	AH0_K_W_IH1_T
エーカー	acre	EY1_K_ER0
エイカー	acre	EY1_K_ER0
アクリッド	acrid	AE1_K_R_IH0_D
アクロバット	acrobat	AE1_K_R_AH0_B_AE2_T
アクロバチック	acrobatic	AE2_K_R_AH0_B_AE1_T_IH0_K
アクロバティック	acrobatic	AE2_K_R_AH0_B_AE1_T_IH0_K
アクロレイン	acrolein	AE1_K_R_OW0_L_IY2_N
アクロニム	acronym	AE1_K_R_AH0_N_IH0_M
アクロポリス	acropolis	AH0_K_R_AA1_P_AH0_L_AH0_S
アクロス	across	AH0_K_R_AO1_S
アクリル	acrylic	AE1_K_R_AH0_L
アクリリックレジンセメント	acrylic|resin|cement	AH0_K_R_IH1_L_IH0_K|R_EH1_Z_AH0_N|S_AH0_M_EH1_N_T
アクト	act	AE1_K_T
アクチン	actin	AE1_K_T_AH0_N
アクティング	acting	AE1_K_T_IH0_NG
アクチナイド	actinide	AE1_K_T_IH0_N_AY2_D
アクチニド	actinide	AE1_K_T_IH0_N_AY2_D
アクチノイド	actinide	AE1_K_T_IH0_N_AY2_D
アクション	action	AE1_K_SH_AH0_N
アクティベート	activate	AE1_K_T_AH0_V_EY2_T
アクティベーション	activation	AE2_K_T_AH0_V_EY1_SH_AH0_N
アクチベータ	activator	AE1_K_T_AH0_V_EY2_T_ER0
アクチベーター	activator	AE1_K_T_AH0_V_EY2_T_ER0
アクティベータ	activator	AE1_K_T_AH0_V_EY2_T_ER0
アクティベーター	activator	AE1_K_T_AH0_V_EY2_T_ER0
アクチブ	active	AE1_K_T_IH0_V
アクティヴ	active	AE1_K_T_IH0_V
アクティブ	active	AE1_K_T_IH0_V
アクティブターミネータ	active|terminator	AE1_K_T_IH0_V|T_ER1_M_IH0_N_EY2_T_ER0
アクティビズム	activism	AE1_K_T_IH0_V_IH2_Z_AH0_M
アクティビスト	activist	AE1_K_T_IH0_V_IH0_S_T
アクティヴィティ	activity	AE0_K_T_IH1_V_IH0_T_IY0
アクティヴィティー	activity	AE0_K_T_IH1_V_IH0_T_IY0
アクティビティ	activity	AE0_K_T_IH1_V_IH0_T_IY0
アクティビティー	activity	AE0_K_T_IH1_V_IH0_T_IY0
アクテビティ	activity	AE0_K_T_IH1_V_IH0_T_IY0
アクテビティー	activity	AE0_K_T_IH1_V_IH0_T_IY0
アクティビティモデルステップ	activity|model|step	AE0_K_T_IH1_V_IH0_T_IY0|M_AA1_D_AH0_L|S_T_EH1_P
アクタ	actor	AE1_K_T_ER0
アクター	actor	AE1_K_T_ER0
アクトレス	actress	AE1_K_T_R_AH0_S
アクチャル	actual	AE1_K_CH_AH0_W_AH0_L
アクチュアル	actual	AE1_K_CH_AH0_W_AH0_L
アクチュアリティー	actuality	AE2_K_CH_UW0_AE1_L_AH0_T_IY2
アクチャリ	actually	AE1_K_CH_UW2_AH0_L_IY0
アクチュアリ	actually	AE1_K_CH_UW2_AH0_L_IY0
アクチュアリー	actuary	AE1_K_CH_UW0_EH1_R_IY2
アクチュエータ	actuator	AE1_K_T_Y_UW0_EY2_T_ER0
アクチュエーター	actuator	AE1_K_T_Y_UW0_EY2_T_ER0
アクチュエタ	actuator	AE1_K_T_Y_UW0_EY2_T_ER0
アクチュエター	actuator	AE1_K_T_Y_UW0_EY2_T_ER0
アド	ad	AE1_D
アドホック	ad|hoc	AE1_D|HH_AA1_K
アドリブ	ad|lib	AE1_D|L_IH1_B
アドトラック	ad|truck	AE1_D|T_R_AH1_K
エイダ	ada	EY1_D_AH0
アダージョ	adagio	AH0_D_AA1_ZH_IY0_OW2
アダジオ	adagio	AH0_D_AA1_ZH_IY0_OW2
アダプト	adapt	AH0_D_AE1_P_T
アダプト	adapt	AH0_D_AE1_P_T
アダプテーション	adaptation	AE2_D_AH0_P_T_EY1_SH_AH0_N
アダプタ	adapter	AH0_D_AE1_P_T_ER0
アダプター	adapter	AH0_D_AE1_P_T_ER0
アダプティヴ	adaptive	AH0_D_AE1_P_T_IH0_V
アダプティブ	adaptive	AH0_D_AE1_P_T_IH0_V
アドイン	add|in	AE1_D|IH0_N
アドオン	add|on	AE1_D|AA1_N
アドストリップ	add|strip	AE1_D|S_T_R_IH1_P
アディクト	addict	AH0_D_IH1_K_T
アディショナル	additional	AH0_D_IH1_SH_AH0_N_AH0_L
アドゥレッス	address	AE1_D_R_EH2_S
アドレス	address	AE1_D_R_EH2_S
アドレシング	addressing	AE0_D_R_EH1_S_IH0_NG
アドレッシング	addressing	AE0_D_R_EH1_S_IH0_NG
アデニン	adenine	AE1_D_AH0_N_IY2_N
アデノイド	adenoid	AE1_D_AH0_N_OY2_D
アデノシン	adenosine	AH0_D_EH1_N_AH0_S_IY2_N
アデノウイルス	adenovirus	AH0_D_EH1_N_AH0_V_AY2_R_AH0_S
アデプト	adept	AH0_D_EH1_P_T
アデュー	adieu	AH0_D_UW1
アディオス	adios	AA2_D_IY0_OW1_S
アジェイサント	adjacent	AH0_JH_EY1_S_AH0_N_T
アジェイスント	adjacent	AH0_JH_EY1_S_AH0_N_T
アジェクティブ	adjective	AE1_JH_IH0_K_T_IH0_V
アジェクテブ	adjective	AE1_JH_IH0_K_T_IH0_V
アジャスト	adjust	AH0_JH_AH1_S_T
アジャスター	adjuster	AH0_JH_AH1_S_T_ER0
アジャストメント	adjustment	AH0_JH_AH1_S_T_M_AH0_N_T
アドミン	admin	AE1_D_M_IH0_N
アドミニストレーション	administration	AE0_D_M_IH2_N_IH0_S_T_R_EY1_SH_AH0_N
アドミニストレータ	administrator	AH0_D_M_IH1_N_IH0_S_T_R_EY2_T_ER0
アドミニストレーター	administrator	AH0_D_M_IH1_N_IH0_S_T_R_EY2_T_ER0
アドミラル	admiral	AE1_D_M_ER0_AH0_L
アドミッション	admission	AE0_D_M_IH1_SH_AH0_N
アドミタンス	admittance	AH0_D_M_IH1_T_AH0_N_S
アドミッタンス	admittance	AH0_D_M_IH1_T_AH0_N_S
アドービ	adobe	AH0_D_OW1_B_IY0
アドビ	adobe	AH0_D_OW1_B_IY0
アドベ	adobe	AH0_D_OW1_B_IY0
アドレセンス	adolescence	AE2_D_AH0_L_EH1_S_AH0_N_S
アダプション	adoption	AH0_D_AA1_P_SH_AH0_N
アドプション	adoption	AH0_D_AA1_P_SH_AH0_N
アドレナリン	adrenalin	AH0_D_R_EH1_N_AH0_L_IH0_N
アダルト	adult	AH0_D_AH1_L_T
アダルトチルドレン	adult|children	AH0_D_AH1_L_T|CH_IH1_L_D_R_AH0_N
アドヴァンス	advance	AH0_D_V_AE1_N_S
アドバンス	advance	AH0_D_V_AE1_N_S
アドヴァンスト	advanced	AH0_D_V_AE1_N_S_T
アドバンスト	advanced	AH0_D_V_AE1_N_S_T
アドバンスド	advanced	AH0_D_V_AE1_N_S_T
アドヴァンテージ	advantage	AE0_D_V_AE1_N_T_IH0_JH
アドバンテージ	advantage	AE0_D_V_AE1_N_T_IH0_JH
アドバンテッジ	advantage	AE0_D_V_AE1_N_T_IH0_JH
アドヴェント	advent	AE1_D_V_EH2_N_T
アドベント	advent	AE1_D_V_EH2_N_T
アドヴェンチャー	adventure	AE0_D_V_EH1_N_CH_ER0
アドベンチャー	adventure	AE0_D_V_EH1_N_CH_ER0
アドゥベンチャラス	adventurous	AE0_D_V_EH1_N_CH_ER0_AH0_S
アドベンチャラス	adventurous	AE0_D_V_EH1_N_CH_ER0_AH0_S
アドゥバタイズメント	advertisement	AE0_D_V_ER1_T_AH0_Z_M_AH0_N_T
アドバタイズメント	advertisement	AE0_D_V_ER1_T_AH0_Z_M_AH0_N_T
アドバタイジング	advertising	AE1_D_V_ER0_T_AY2_Z_IH0_NG
アドヴァイス	advice	AE0_D_V_AY1_S
アドバイス	advice	AE0_D_V_AY1_S
アドヴァイザー	adviser	AE0_D_V_AY1_Z_ER0
アドバイザー	adviser	AE0_D_V_AY1_Z_ER0
アドバイザリ	advisory	AE0_D_V_AY1_Z_ER0_IY0
アドバイザリー	advisory	AE0_D_V_AY1_Z_ER0_IY0
アドボカシー	advocacy	AE1_D_V_AH0_K_AH0_S_IY0
イージス	aegis	IY1_JH_AH0_S
エイジス	aegis	IY1_JH_AH0_S
エアリアル	aerial	EH1_R_IY0_AH0_L
エアロ	aero	EH1_R_OW0
エアロパーツ	aero|parts	EH1_R_OW0|P_AA1_R_T_S
エアロビクス	aerobics	ER0_OW1_B_IH0_K_S
エアロダイナミックス	aerodynamics	EH2_R_OW0_D_AY0_N_AE1_M_IH0_K_S
エーロゾル	aerosol	EH1_R_AH0_S_AA2_L
エアゾール	aerosol	EH1_R_AH0_S_AA2_L
エアロゾル	aerosol	EH1_R_AH0_S_AA2_L
アフェア	affair	AH0_F_EH1_R
アフェアー	affair	AH0_F_EH1_R
アフェクション	affection	AH0_F_EH1_K_SH_AH0_N
アフィリエート	affiliate	AH0_F_IH1_L_IY0_EY2_T
アフィリエイト	affiliate	AH0_F_IH1_L_IY0_EY2_T
アフェリエート	affiliate	AH0_F_IH1_L_IY0_EY2_T
アフェリエイト	affiliate	AH0_F_IH1_L_IY0_EY2_T
アフィリエートブログ	affiliate|blog	AH0_F_IH1_L_IY0_EY2_T|B_L_AO1_G
アフィリエートプログラム	affiliate|program	AH0_F_IH1_L_IY0_EY2_T|P_R_OW1_G_R_AE2_M
アフィリエイトプログラム	affiliate|program	AH0_F_IH1_L_IY0_EY2_T|P_R_OW1_G_R_AE2_M
アフィニティ	affinity	AH0_F_IH1_N_IH0_T_IY0
アファーマティブ	affirmative	AH0_F_ER1_M_AH0_T_IH0_V
アフガン	afghan	AE1_F_G_AE2_N
アフラトキシン	aflatoxin	AE2_F_L_AH0_T_AA1_K_S_IH0_N
アフリカンアメリカン	african|american	AE1_F_R_IH0_K_AA0_N|AH0_M_EH1_R_IH0_K_AH0_N
アフリカーンス	afrikaans	AE2_F_R_AH0_K_AA1_N_Z
アフカーナ	afrikaner	AE2_F_R_AH0_K_AA1_N_ER0
アフロ	afro	AE1_F_R_OW0
アフロカリビアン	afro|caribbean	AE1_F_R_OW0|K_EH0_R_IH1_B_IY2_AH0_N
アフロキューバンリズム	afro|cuban|rhythm	AE1_F_R_OW0|K_Y_UW1_B_AH0_N|R_IH1_DH_AH0_M
アーフタ	after	AE1_F_T_ER0
アフター	after	AE1_F_T_ER0
アフターシェーブローション	after|shave|lotion	AE1_F_T_ER0|SH_EY1_V|L_OW1_SH_AH0_N
アフターバーナー	afterburner	AE1_F_T_ER0_B_ER2_N_ER0
アフターマーケット	aftermarket	AE1_F_T_ER0_M_AA2_R_K_IH0_T
アーフタヌーン	afternoon	AE2_F_T_ER0_N_UW1_N
アフターヌーン	afternoon	AE2_F_T_ER0_N_UW1_N
アフタヌーン	afternoon	AE2_F_T_ER0_N_UW1_N
アーフタワーズ	afterwards	AE1_F_T_ER0_W_ER0_D_Z
アゲーン	again	AH0_G_EH1_N
アゲイン	again	AH0_G_EH1_N
アゲン	again	AH0_G_EH1_N
アゲィンスト	against	AH0_G_EH1_N_S_T
アゲインスト	against	AH0_G_EH1_N_S_T
アゲンスト	against	AH0_G_EH1_N_S_T
エージ	age	EY1_JH
エイジ	age	EY1_JH
エージグループ	age|group	EY1_JH|G_R_UW1_P
エージハラスメント	age|harassment	EY1_JH|HH_ER0_AE1_S_M_AH0_N_T
エージレス	ageless	EY1_JH_L_AH0_S
エイジレス	ageless	EY1_JH_L_AH0_S
エージェンシー	agency	EY1_JH_AH0_N_S_IY0
エイジェンシー	agency	EY1_JH_AH0_N_S_IY0
アジェンダ	agenda	AH0_JH_EH1_N_D_AH0
エージェント	agent	EY1_JH_AH0_N_T
エージント	agent	EY1_JH_AH0_N_T
エイジェント	agent	EY1_JH_AH0_N_T
アゲラタム	ageratum	AH0_JH_EH1_R_AH0_T_AH0_M
アグロメレーション	agglomeration	AH0_G_L_AA2_M_ER0_EY1_SH_AH0_N
アグラベイト	aggravate	AE1_G_R_AH0_V_EY2_T
アグリベイト	aggravate	AE1_G_R_AH0_V_EY2_T
アグリゲイション	aggregation	AE2_G_R_AH0_G_EY1_SH_AH0_N
アグレゲイション	aggregation	AE2_G_R_AH0_G_EY1_SH_AH0_N
アグレション	aggression	AH0_G_R_EH1_SH_AH0_N
アグレッション	aggression	AH0_G_R_EH1_SH_AH0_N
アグレッシン	aggression	AH0_G_R_EH1_SH_AH0_N
アグレシヴ	aggressive	AH0_G_R_EH1_S_IH0_V
アグレシブ	aggressive	AH0_G_R_EH1_S_IH0_V
アグレッシヴ	aggressive	AH0_G_R_EH1_S_IH0_V
アグレッシブ	aggressive	AH0_G_R_EH1_S_IH0_V
アジャイルー	agile	AE1_JH_AH0_L
アジリティ	agility	AH0_JH_IH1_L_AH0_T_IY0
アジリティー	agility	AH0_JH_IH1_L_AH0_T_IY0
エージング	aging	EY1_JH_IH0_NG
エイジング	aging	EY1_JH_IH0_NG
アジテート	agitate	AE1_JH_AH0_T_EY2_T
アジテイト	agitate	AE1_JH_AH0_T_EY2_T
アジテーション	agitation	AE2_JH_AH0_T_EY1_SH_AH0_N
アジテイション	agitation	AE2_JH_AH0_T_EY1_SH_AH0_N
アジテーター	agitator	AE1_JH_AH0_T_EY2_T_ER0
アガナイズ	agonize	AE1_G_AH0_N_AY2_Z
アゴラ	agora	AE1_G_ER0_AH0
アゴラフォビア	agoraphobia	AH0_G_AO2_R_AH0_F_OW1_B_IY0_AH0
アグリ	agree	AH0_G_R_IY1
アグリー	agree	AH0_G_R_IY1
アグレアブル	agreeable	AH0_G_R_IY1_AH0_B_AH0_L
アグリーメント	agreement	AH0_G_R_IY1_M_AH0_N_T
アグリメント	agreement	AH0_G_R_IY1_M_AH0_N_T
アグリビジネス	agribusiness	AE1_G_R_AH0_B_IH2_Z_N_AH0_S
アグリカルチュラル	agricultural	AE2_G_R_IH0_K_AH1_L_CH_ER0_AH0_L
アグリカルチャ	agriculture	AE1_G_R_IH0_K_AH2_L_CH_ER0
アグリカルチャー	agriculture	AE1_G_R_IH0_K_AH2_L_CH_ER0
エイド	aid	EY1_D
エルロン	aileron	EY1_L_ER0_AA2_N
エイム	aim	EY1_M
アイヌ	ainu	EY1_N_UW2
エア	air	EH1_R
エアー	air	EH1_R
エヤー	air	EH1_R
エアコン	air|con	EH1_R|K_AA1_N
エヤコン	air|con	EH1_R|K_AA1_N
エアマット	air|mat	EH1_R|M_AE1_T
エアサスペンション	air|suspension	EH1_R|S_AH0_S_P_EH1_N_SH_AH0_N
エアボート	airboat	EH1_R_B_OW0_T
エアボーン	airborne	EH1_R_B_AO2_R_N
エアクラフト	aircraft	EH1_R_K_R_AE2_F_T
エアフィールド	airfield	EH1_R_F_IY2_L_D
エアライン	airline	EH1_R_L_AY2_N
エアポート	airport	EH1_R_P_AO2_R_T
エアシップ	airship	EH1_R_SH_IH2_P
エアウェー	airway	EH1_R_W_EY2
エアウェイ	airway	EH1_R_W_EY2
アイル	aisle	AY1_L
アルメール	al|mail	AE1_L|M_EY1_L
アラバマ	alabama	AE2_L_AH0_B_AE1_M_AH0
アラバスター	alabaster	AE1_L_AH0_B_AE2_S_T_ER0
アラン	alan	AE1_L_AH0_N
アラーム	alarm	AH0_L_AA1_R_M
アラスカ	alaska	AH0_L_AE1_S_K_AH0
アルバニア	albania	AE0_L_B_EY1_N_IY0_AH0
アルバトロス	albatross	AE1_L_B_AH0_T_R_AA2_S
アルビーノ	albino	AE0_L_B_AY1_N_OW2
アルビノ	albino	AE0_L_B_AY1_N_OW2
アルバム	album	AE1_L_B_AH0_M
アルブミン	albumin	AE0_L_B_Y_UW1_M_AH0_N
アルカンターラ	alcantara	AA0_L_K_AA0_N_T_AA1_R_AH0
アルコール	alcohol	AE1_L_K_AH0_HH_AA2_L
アルコホル	alcohol	AE1_L_K_AH0_HH_AA2_L
アルコーブ	alcove	AE1_L_K_OW2_V
アルデバラン	aldebaran	AE0_L_D_EH1_B_ER0_AH0_N
アルドリン	aldrin	AO1_L_D_R_IH0_N
エール	ale	EY1_L
アーレフ	aleph	AA1_L_AH0_F
アレフ	aleph	AA1_L_AH0_F
アラート	alert	AH0_L_ER1_T
アルファルファ	alfalfa	AE2_L_F_AE1_L_F_AH0
アルジェリア	algeria	AE0_L_JH_IH1_R_IY0_AH0
アルジェ	algiers	AE0_L_JH_IH1_R_Z
アルゴル	algol	AE1_L_G_AA0_L
アルゴリズム	algorithm	AE1_L_G_ER0_IH2_DH_AH0_M
アルゴリズミック	algorithmic	AE1_L_G_ER0_IH2_DH_AH0_M_IH0_K
エイリアス	alias	EY1_L_IY0_AH0_S
アリバイ	alibi	AE1_L_AH0_B_AY2
エーリアン	alien	EY1_L_IY0_AH0_N
エイリアン	alien	EY1_L_IY0_AH0_N
アライメント	alignment	AH0_L_AY1_N_M_AH0_N_T
アラインメント	alignment	AH0_L_AY1_N_M_AH0_N_T
アラインメントテストイメージ	alignment|test|image	AH0_L_AY1_N_M_AH0_N_T|T_EH1_S_T|IH1_M_AH0_JH
アライブ	alive	AH0_L_AY1_V
アーリヤー	aliyah	AH0_L_IY1_AH0
アリーヤー	aliyah	AH0_L_IY1_AH0
アリヤー	aliyah	AH0_L_IY1_AH0
アルカロイド	alkaloid	AE1_L_K_AH0_L_OY2_D
アルケン	alkene	AE1_L_K_IY2_N
オールインワン	all|in|one	AO1_L|IH0_N|W_AH1_N
オールジャパン	all|japan	AO1_L|JH_AH0_P_AE1_N
オールラスト	all|last	AO1_L|L_AE1_S_T
オールロケーション	all|location	AO1_L|L_OW0_K_EY1_SH_AH0_N
オールナイト	all|night	AO1_L|N_AY1_T
オールオアナシング	all|or|nothing	AO1_L|AO1_R|N_AH1_TH_IH0_NG
オールオアナッシング	all|or|nothing	AO1_L|AO1_R|N_AH1_TH_IH0_NG
オールオーディナリーズ	all|ordinaries	AO1_L|AO1_R_D_AH0_N_EH2_R_IY0_Z
オールパーパス	all|purpose	AO1_L|P_ER1_P_AH0_S
オールライト	all|right	AO1_L|R_AY1_T
オールリスクス	all|risks	AO1_L|R_IH1_S_K_S
オールラウンド	all|round	AO1_L|R_AW1_N_D
オールラウンダー	all|rounder	AO1_L|R_AW1_N_D_ER0
オールシーズンコート	all|season|coat	AO1_L|S_IY1_Z_AH0_N|K_OW1_T
オールシーズンドレス	all|season|dress	AO1_L|S_IY1_Z_AH0_N|D_R_EH1_S
オールタイム	all|time	AO1_L|T_AY1_M
オールウェザー	all|weather	AO1_L|W_EH1_DH_ER0
オールウエザー	all|weather	AO1_L|W_EH1_DH_ER0
アッラー	allah	AA1_L_AH0
アラー	allah	AA1_L_AH0
アレゴリー	allegory	AE1_L_AH0_G_AO2_R_IY0
アッレグロ	allegro	AH0_L_EH1_G_R_OW2
アレグロ	allegro	AH0_L_EH1_G_R_OW2
アレル	allele	AH0_L_EH1_L_IY0
アレルゲン	allergen	AE1_L_ER0_JH_AH0_N
アレルギー	allergie	AE1_L_ER0_JH_IY0
アレー	alley	AE1_L_IY0
アレイ	alley	AE1_L_IY0
