アブストラクトアート	abstract|art	AE0_B_S_T_R_AE1_K_T|AA1_R_T
アドレスレンジ	address|range	AE1_D_R_EH2_S|R_EY1_N_JH
アドレスレジスタ	address|register	AE1_D_R_EH2_S|R_EH1_JH_IH0_S_T_ER0
アドレススクリーニング	address|screening	AE1_D_R_EH2_S|S_K_R_IY1_N_IH0_NG
アドレッシングモード	addressing|mode	AE0_D_R_EH1_S_IH0_NG|M_OW1_D
アジャスタブルレンチ	adjustable|wrench	AH0_JH_AH1_S_T_AH0_B_AH0_L|R_EH1_N_CH
アドミッションフリー	admission|free	AE0_D_M_IH1_SH_AH0_N|F_R_IY1
アドミッションポリシー	admission|policy	AE0_D_M_IH1_SH_AH0_N|P_AA1_L_AH0_S_IY0
アドミッションオフィス	admission|office	AE0_D_M_IH1_SH_AH0_N|AO1_F_AH0_S
アダプトプログラム	adopt|program	AH0_D_AA1_P_T|P_R_OW1_G_R_AE2_M
アドプトプログラム	adopt|program	AH0_D_AA1_P_T|P_R_OW1_G_R_AE2_M
アドレナリンジャンキー	adrenaline|junkie	AH0_D_R_EH1_N_AH0_L_AH0_N|JH_AH1_NG_K_IY0
アダルト	adult	AH0_D_AH1_L_T
アダルトチルドレン	adult|children	AH0_D_AH1_L_T|CH_IH1_L_D_R_AH0_N
アダルトコンテンツ	adult|contents	AH0_D_AH1_L_T|K_AA1_N_T_EH0_N_T_S
アダルトエデュケーション	adult|education	AH0_D_AH1_L_T|EH2_JH_AH0_K_EY1_SH_AH0_N
アダルトゲーム	adult|game	AH0_D_AH1_L_T|G_EY1_M
アダルトグッズ	adult|goods	AH0_D_AH1_L_T|G_UH1_D_Z
アダルトグラフィック	adult|graphic	AH0_D_AH1_L_T|G_R_AE1_F_IH0_K
アダルトサイト	adult|site	AH0_D_AH1_L_T|S_AY1_T
アダルトビデオ	adult|video	AH0_D_AH1_L_T|V_IH1_D_IY0_OW0
アドバンスドオープンウオーターダイバー	advanced|open|water|diver	AH0_D_V_AE1_N_S_T|OW1_P_AH0_N|W_AO1_T_ER0|D_AY1_V_ER0
アドバンテージルール	advantage|rule	AE0_D_V_AE1_N_T_IH0_JH|R_UW1_L
アドベンチャーゲーム	adventure|game	AE0_D_V_EH1_N_CH_ER0|G_EY1_M
アドベンチャースポーツ	adventure|sports	AE0_D_V_EH1_N_CH_ER0|S_P_AO1_R_T_S
アドバイザリスタッフ	advisory|staff	AE0_D_V_AY1_Z_ER0_IY0|S_T_AE1_F
イージスシステム	aegis|system	IY1_JH_AH0_S|S_IH1_S_T_AH0_M
エアリアルスキー	aerial|ski	EH1_R_IY0_AH0_L|S_K_IY1
アクロバットチーム	acrobat|team	AE1_K_R_AH0_B_AE2_T|T_IY1_M
エアロビックダンシング	aerobic|dancing	EH0_R_OW1_B_IH0_K|D_AE1_N_S_IH0_NG
エアロビックフィットネス	aerobic|fitness	EH0_R_OW1_B_IH0_K|F_IH1_T_N_AH0_S
エアロバティックス	aerobatics	EH2_R_AH0_B_AE1_T_IH0_K_S
エステティーク	aesthetic	EH0_S_TH_EH1_T_IH0_K
エステティク	aesthetic	EH0_S_TH_EH1_T_IH0_K
エステティック	aesthetic	EH0_S_TH_EH1_T_IH0_K
エステティックサロン	aesthetic|salon	EH0_S_TH_EH1_T_IH0_K|S_AH0_L_AA1_N
アフィリエートー	affiliate	AH0_F_IH1_L_IY0_EY2_T
アフィリエイトー	affiliate	AH0_F_IH1_L_IY0_EY2_T
アフィリエイトブログ	affiliate|blog	AH0_F_IH1_L_IY0_EY2_T|B_L_AO1_G
アフィリエートマーケティング	affiliate|marketing	AH0_F_IH1_L_IY0_EY2_T|M_AA1_R_K_AH0_T_IH0_NG
アフィリエイトマーケティング	affiliate|marketing	AH0_F_IH1_L_IY0_EY2_T|M_AA1_R_K_AH0_T_IH0_NG
アフィリエートプログラム	affiliate|program	AH0_F_IH1_L_IY0_EY2_T|P_R_OW1_G_R_AE2_M
アフィリエイトプログラム	affiliate|program	AH0_F_IH1_L_IY0_EY2_T|P_R_OW1_G_R_AE2_M
アフィリエートサービス	affiliate|service	AH0_F_IH1_L_IY0_EY2_T|S_ER1_V_AH0_S
アフィリエイトサービス	affiliate|service	AH0_F_IH1_L_IY0_EY2_T|S_ER1_V_AH0_S
アフィニティークロマトグラフィー	affinity|chromatography	AH0_F_IH1_N_IH0_T_IY0|K_R_OW0_M_AH0_T_AA1_G_R_AH0_F_IY0
アファーマティブアクション	affirmative|action	AH0_F_ER1_M_AH0_T_IH0_V|AE1_K_SH_AH0_N
アフガンハウンド	afghan|hound	AE1_F_G_AE2_N|HH_AW1_N_D
アフリカゴールデンキャット	africa|golden|cat	AE1_F_R_IH0_K_AA0|G_OW1_L_D_AH0_N|K_AE1_T
アフリカンエンジェル	african|angel	AE1_F_R_IH0_K_AA0_N|EY1_N_JH_AH0_L
アフターケア	after|care	AE1_F_T_ER0|K_EH1_R
アフターレコーディング	after|coding	AE1_F_T_ER0|K_OW1_D_IH0_NG
アフターダーク	after|dark	AE1_F_T_ER0|D_AA1_R_K
アフターファイブ	after|five	AE1_F_T_ER0|F_AY1_V
アフターフォロー	after|follow	AE1_F_T_ER0|F_AA1_L_OW0
アフターサービス	after|service	AE1_F_T_ER0|S_ER1_V_AH0_S
アフターサポート	after|support	AE1_F_T_ER0|S_AH0_P_AO1_R_T
アフターヌーンドレス	afternoon|dress	AE2_F_T_ER0_N_UW1_N|D_R_EH1_S
アフタヌーンドレス	afternoon|dress	AE2_F_T_ER0_N_UW1_N|D_R_EH1_S
アフタヌーンシャドー	afternoon|shadow	AE2_F_T_ER0_N_UW1_N|SH_AE1_D_OW2
アフタヌーンティ	afternoon|tea	AE2_F_T_ER0_N_UW1_N|T_IY1
アフタヌーンティー	afternoon|tea	AE2_F_T_ER0_N_UW1_N|T_IY1
エイジハラスメント	age|harassment	EY1_JH|HH_ER0_AE1_S_M_AH0_N_T
エージシューター	age|shooter	EY1_JH|SH_UW1_T_ER0
エージドビーフ	aged|beef	EY1_JH_D|B_IY1_F
アジェンダセッティング	agenda|setting	AH0_JH_EH1_N_D_AH0|S_EH1_T_IH0_NG
エージェントオレンジ	agent|orange	EY1_JH_AH0_N_T|AO1_R_IH0_N_JH
アグリゲート	aggregate	AE1_G_R_AH0_G_EY0_T
アグリゲイト	aggregate	AE1_G_R_AH0_G_EY0_T
エージングハラスメント	aging|harassment	EY1_JH_IH0_NG|HH_ER0_AE1_S_M_AH0_N_T
エード	aid	EY1_D
エイズワクチン	aids|vaccine	EY1_D_Z|V_AE2_K_S_IY1_N
エイズウイルス	aids|virus	EY1_D_Z|V_AY1_R_AH0_S
エアバッグ	air|bag	EH1_R|B_AE1_G
エアブレーキ	air|brake	EH1_R|B_R_EY1_K
エアブリージングエンジン	air|breathing|engine	EH1_R|B_R_IY1_DH_IH0_NG|EH1_N_JH_AH0_N
エアキャップ	air|cap	EH1_R|K_AE1_P
エアカーゴ	air|cargo	EH1_R|K_AA1_R_G_OW2
エアチャンバー	air|chamber	EH1_R|CH_EY1_M_B_ER0
エアチェック	air|check	EH1_R|CH_EH1_K
エアサイクルシステム	air|circle|system	EH1_R|S_ER1_K_AH0_L|S_IH1_S_T_AH0_M
エアクリーナー	air|cleaner	EH1_R|K_L_IY1_N_ER0
エアコンプレッサー	air|compressor	EH1_R|K_AH0_M_P_R_EH1_S_ER0
エアコンディショナー	air|conditioner	EH1_R|K_AH0_N_D_IH1_SH_AH0_N_ER0
エアーコンディショナー	air|conditioner	EH1_R|K_AH0_N_D_IH1_SH_AH0_N_ER0
エアーコンディショニング	air|conditioning	EH1_R|K_AH0_N_D_IH1_SH_AH0_N_IH0_NG
エアコンディショニング	air|conditioning	EH1_R|K_AH0_N_D_IH1_SH_AH0_N_IH0_NG
エアカーテン	air|curtain	EH1_R|K_ER1_T_AH0_N
エアクッション	air|cushion	EH1_R|K_UH1_SH_AH0_N
エアシリンダ	air|cylinder	EH1_R|S_IH1_L_AH0_N_D_ER0
エアドーム	air|dome	EH1_R|D_OW1_M
エアドア	air|door	EH1_R|D_AO1_R
エアダクト	air|duct	EH1_R|D_AH1_K_T
エアダスター	air|duster	EH1_R|D_AH1_S_T_ER0
エアフィルタ	air|filter	EH1_R|F_IH1_L_T_ER0
エアフィルター	air|filter	EH1_R|F_IH1_L_T_ER0
エアフォース	air|force	EH1_R|F_AO1_R_S
エアフォースワン	air|force|one	EH1_R|F_AO1_R_S|W_AH1_N
エアーギター	air|guitar	EH1_R|G_IH0_T_AA1_R
エアギター	air|guitar	EH1_R|G_IH0_T_AA1_R
エアーガン	air|gun	EH1_R|G_AH1_N
エアガン	air|gun	EH1_R|G_AH1_N
エアハンマー	air|hammer	EH1_R|HH_AE1_M_ER0
エアホール	air|hole	EH1_R|HH_OW1_L
エアホステス	air|hostess	EH1_R|HH_OW1_S_T_AH0_S
エアロック	air|lock	EH1_R|L_AA1_K
エアーマネジメント	air|management	EH1_R|M_AE1_N_AH0_JH_M_AH0_N_T
エアモザイク	air|mosaic	EH1_R|M_OW0_Z_EY1_IH0_K
エアーパッキン	air|packing	EH1_R|P_AE1_K_IH0_NG
エアパッド	air|pad	EH1_R|P_AE1_D
エアピープル	air|people	EH1_R|P_IY1_P_AH0_L
エアピストル	air|pistol	EH1_R|P_IH1_S_T_AH0_L
エアプランツ	air|plants	EH1_R|P_L_AE1_N_T_S
エアポケット	air|pocket	EH1_R|P_AA1_K_AH0_T
エアポット	air|pot	EH1_R|P_AA1_T
エアポンプ	air|pump	EH1_R|P_AH1_M_P
エアライフル	air|rifle	EH1_R|R_AY1_F_AH0_L
エアライト	air|right	EH1_R|R_AY1_T
エアサービス	air|service	EH1_R|S_ER1_V_AH0_S
エアーセックス	air|sex	EH1_R|S_EH1_K_S
エアセックス	air|sex	EH1_R|S_EH1_K_S
エアシュート	air|shoot	EH1_R|SH_UW1_T
エアシャトル	air|shuttle	EH1_R|SH_AH1_T_AH0_L
エアシック	air|sick	EH1_R|S_IH1_K
エアステーション	air|station	EH1_R|S_T_EY1_SH_AH0_N
エアターミナル	air|terminal	EH1_R|T_ER1_M_IH0_N_AH0_L
エアタオル	air|towel	EH1_R|T_AW1_AH0_L
エアバス	airbus	EH1_R_B_AH0_S
エアーメール	airmail	EH1_R_M_EY2_L
エアメール	airmail	EH1_R_M_EY2_L
エアポートタックス	airport|tax	EH1_R_P_AO2_R_T|T_AE1_K_S
アルデンテ	al|dente	AE1_L|D_EH1_N_T_EY2
アルカーイダ	al|qaeda	AE1_L|K_AY1_D_AA0
アルカイーダ	al|qaeda	AE1_L|K_AY1_D_AA0
アルカイダ	al|qaeda	AE1_L|K_AY1_D_AA0
アラームランプ	alarm|lamp	AH0_L_AA1_R_M|L_AE1_M_P
アラームプロファイル	alarm|profile	AH0_L_AA1_R_M|P_R_OW1_F_AY2_L
アラームスピーカ	alarm|speaker	AH0_L_AA1_R_M|S_P_IY1_K_ER0
アラスカンマラミュート	alaskan|malamute	AH0_L_AE1_S_K_AH0_N|M_AE1_L_AH0_M_Y_UW2_T
アルコールハラスメント	alcohol|harassment	AE1_L_K_AH0_HH_AA2_L|HH_ER0_AE1_S_M_AH0_N_T
アルコールランプ	alcohol|lamp	AE1_L_K_AH0_HH_AA2_L|L_AE1_M_P
オールバック	all|back	AO1_L|B_AE1_K
オールイングリッシュ	all|english	AO1_L|IH1_NG_G_L_IH0_SH
オールギャランティー	all|guarantee	AO1_L|G_EH2_R_AH0_N_T_IY1
オールイン	all|in	AO1_L|IH0_N
オールヌード	all|nude	AO1_L|N_UW1_D
オールパス	all|pass	AO1_L|P_AE1_S
オールシーズン	all|season	AO1_L|S_IY1_Z_AH0_N
オールスクエア	all|square	AO1_L|S_K_W_EH1_R
オールトーキー	all|talkie	AO1_L|T_AO1_K_IY0
アッラマルチャ	alla|marcia	AA1_L_AH0|M_AA1_R_SH_AH0
アッラーアクバル	allah|akbar	AA1_L_AH0|AE1_K_B_ER0
アッラーフアクバル	allah|akbar	AA1_L_AH0|AE1_K_B_ER0
アラーアクバル	allah|akbar	AA1_L_AH0|AE1_K_B_ER0
アレンレンチ	allen|wrench	AE1_L_AH0_N|R_EH1_N_CH
アレルギー	allergy	AE1_L_ER0_JH_IY0
アレルギーテスト	allergy|test	AE1_L_ER0_JH_IY0|T_EH1_S_T
アリゲーターガー	alligator|gar	AE1_L_AH0_G_EY2_T_ER0|G_AA1_R
オールスター	all-star	AO2_L_S_T_AA1_R
オールスターキャスト	all-star|cast	AO2_L_S_T_AA1_R|K_AE1_S_T
オールスターゲーム	all-star|game	AO2_L_S_T_AA1_R|G_EY1_M
オールスターチーム	all-star|team	AO2_L_S_T_AA1_R|T_IY1_M
アーモンド	almond	AA1_M_AH0_N_D
アーモンドミール	almond|meal	AA1_M_AH0_N_D|M_IY1_L
アーモンドパウダー	almond|powder	AA1_M_AH0_N_D|P_AW1_D_ER0
アロエベラ	aloe|vera	AE1_L_OW2|V_EH1_R_AH0
アロハシャツ	aloha|shirts	AH0_L_OW1_HH_AA0|SH_ER1_T_S
アルファギーク	alpha|geek	AE1_L_F_AH0|G_IY1_K
オールターナティブスクール	alternative|school	AO0_L_T_ER1_N_AH0_T_IH0_V|S_K_UW1_L
アルティチュードダイブ	altitude|dive	AE1_L_T_AH0_T_UW2_D|D_AY1_V
アルトサックス	alto|sax	AE1_L_T_OW0|S_AE1_K_S
アルミナセメント	alumina|cement	AH0_L_UW1_M_AH0_N_AH0|S_AH0_M_EH1_N_T
アマランス	amaranth	AE1_M_ER0_AE2_N_TH
アマチュアバンド	amateur|band	AE1_M_AH0_CH_ER2|B_AE1_N_D
アマチュアボクシング	amateur|boxing	AE1_M_AH0_CH_ER2|B_AA1_K_S_IH0_NG
アマチュアマラソン	amateur|marathon	AE1_M_AH0_CH_ER2|M_EH1_R_AH0_TH_AA2_N
アマチュアオーケストラ	amateur|orchestra	AE1_M_AH0_CH_ER2|AO1_R_K_AH0_S_T_R_AH0
アマチュアレスリング	amateur|wrestling	AE1_M_AH0_CH_ER2|R_EH1_S_L_IH0_NG
アメリカアリゲーター	america|alligator	AH0_M_EH1_R_IH0_K_AH0|AE1_L_AH0_G_EY2_T_ER0
アメリカビーバー	america|beaver	AH0_M_EH1_R_IH0_K_AH0|B_IY1_V_ER0
アメリカバイソン	america|bison	AH0_M_EH1_R_IH0_K_AH0|B_AY1_S_AH0_N
アメリカンカジュアル	american|casual	AH0_M_EH1_R_IH0_K_AH0_N|K_AE1_ZH_AH0_W_AH0_L
アメリカドル	america|dollar	AH0_M_EH1_R_IH0_K_AH0|D_AA1_L_ER0
アメリカンドリーム	american|dream	AH0_M_EH1_R_IH0_K_AH0_N|D_R_IY1_M
アメリカンフットボール	american|football	AH0_M_EH1_R_IH0_K_AH0_N|F_UH1_T_B_AO2_L
アメリカンインディアン	american|indian	AH0_M_EH1_R_IH0_K_AH0_N|IH1_N_D_IY0_AH0_N
アメリカインディアン	america|indian	AH0_M_EH1_R_IH0_K_AH0|IH1_N_D_IY0_AH0_N
アメリカンジョーク	american|joke	AH0_M_EH1_R_IH0_K_AH0_N|JH_OW1_K
アメリカンリーグ	american|league	AH0_M_EH1_R_IH0_K_AH0_N|L_IY1_G
アメリカンプラン	american|plan	AH0_M_EH1_R_IH0_K_AH0_N|P_L_AE1_N
アメリカンソース	american|sauce	AH0_M_EH1_R_IH0_K_AH0_N|S_AO1_S
アメリケーヌソース	american|sauce	AH0_M_EH1_R_IH0_K_AH0_N|S_AO1_S
アメリカンスクール	american|school	AH0_M_EH1_R_IH0_K_AH0_N|S_K_UW1_L
アメリカサインランゲージ	america|sign|language	AH0_M_EH1_R_IH0_K_AH0|S_AY1_N|L_AE1_NG_G_W_AH0_JH
アモルファスシリコン	amorphous|silicon	AH0_M_AO1_R_F_AH0_S|S_IH1_L_AH0_K_AH0_N
アミューズメントセンター	amusement|center	AH0_M_Y_UW1_Z_M_AH0_N_T|S_EH1_N_T_ER0
アミューズメントパーク	amusement|park	AH0_M_Y_UW1_Z_M_AH0_N_T|P_AA1_R_K
アナルファック	anal|fuck	EY1_N_AH0_L|F_AH1_K
アナルセックス	anal|sex	EY1_N_AH0_L|S_EH1_K_S
アナログボード	analog|board	AE1_N_AH0_L_AO2_G|B_AO1_R_D
アナログコンピュータ	analog|computer	AE1_N_AH0_L_AO2_G|K_AH0_M_P_Y_UW1_T_ER0
アナログコンピューター	analog|computer	AE1_N_AH0_L_AO2_G|K_AH0_M_P_Y_UW1_T_ER0
アナログコントローラ	analog|controller	AE1_N_AH0_L_AO2_G|K_AH0_N_T_R_OW1_L_ER0
アナログデータ	analog|data	AE1_N_AH0_L_AO2_G|D_EY1_T_AH0
アナログディスク	analog|disc	AE1_N_AH0_L_AO2_G|D_IH1_S_K
アナログディスプレイ	analog|display	AE1_N_AH0_L_AO2_G|D_IH0_S_P_L_EY1
